timestamp\y, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, Net X Velocity, Net Y Velocity
0.0000, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, -0.004445, -0.000455
10.1000, 64, 6, 16, 16, 20, 8, 15, 13, 15, 28, 19, 15, 13, 13, 18, 13, 26, 8, 16, 58, 0.006345, 0.004208
20.0000, 110, 12, 16, 5, 9, 13, 10, 7, 7, 7, 13, 9, 9, 14, 10, 2, 9, 11, 7, 120, 0.003043, -0.009803
30.0000, 143, 8, 3, 6, 8, 7, 5, 9, 4, 8, 4, 7, 9, 11, 3, 5, 6, 6, 5, 143, 0.000412, -0.002792
40.0000, 153, 7, 5, 4, 7, 6, 4, 5, 6, 5, 3, 4, 5, 11, 4, 2, 5, 3, 6, 155, -0.000030, -0.000729
50.0000, 162, 8, 2, 4, 6, 3, 3, 6, 4, 2, 3, 5, 4, 5, 6, 3, 4, 4, 0, 166, -0.000108, -0.000388
60.0000, 170, 1, 7, 3, 3, 5, 4, 2, 3, 1, 5, 1, 6, 3, 3, 6, 1, 4, 3, 169, 0.000054, 0.001341
70.0000, 175, 3, 4, 1, 4, 3, 3, 2, 4, 0, 1, 6, 3, 3, 2, 5, 3, 2, 2, 174, -0.000196, -0.000963
80.1000, 181, 0, 3, 1, 3, 1, 5, 2, 2, 2, 0, 2, 4, 4, 2, 4, 2, 2, 3, 177, -0.000090, 0.001395
90.1000, 183, 0, 1, 1, 4, 2, 4, 1, 2, 2, 1, 2, 2, 4, 2, 3, 2, 3, 1, 180, -0.000123, 0.001798
100.1000, 183, 0, 1, 4, 3, 1, 2, 2, 1, 3, 2, 1, 1, 3, 2, 3, 3, 1, 4, 180, -0.000142, 0.001738
110.1000, 183, 0, 3, 3, 3, 0, 2, 2, 1, 3, 1, 3, 1, 2, 1, 0, 4, 3, 2, 183, -0.000193, 0.001540
