timestamp\y, 1, 2, 3, 4, 5, Net X Velocity, Net Y Velocity
0.0000, 5, 5, 5, 5, 0, -0.550387, 0.304520
0.1000, 5, 5, 5, 5, 0, -0.589986, 0.427772
0.2000, 5, 5, 5, 5, 0, -0.595647, 0.455164
0.3000, 5, 5, 5, 5, 0, -0.609814, 0.407226
0.4000, 5, 5, 5, 5, 0, -0.659846, 0.350981
0.5000, 5, 5, 3, 5, 2, -0.646959, 0.397685
0.6000, 5, 5, 3, 5, 2, -0.667430, 0.344166
0.7000, 5, 5, 1, 6, 3, -0.579780, 0.515674
0.8000, 5, 5, 1, 4, 5, -0.584972, 0.625884
0.9000, 5, 5, 1, 4, 5, -0.507967, 0.722036
1.0000, 5, 5, 0, 5, 5, -0.483310, 0.764161
1.1000, 4, 5, 1, 5, 5, -0.400685, 0.727811
1.2000, 3, 6, 1, 5, 5, -0.301704, 0.753535
1.3000, 2, 5, 3, 5, 5, -0.169011, 0.834510
1.4000, 0, 6, 4, 5, 5, -0.077633, 0.809043
1.5000, 0, 6, 4, 5, 5, 0.005225, 0.754946
1.6000, 0, 5, 5, 4, 6, -0.041313, 0.696717
1.7000, 0, 5, 5, 3, 7, -0.018001, 0.699315
1.8000, 0, 5, 5, 2, 8, 0.001524, 0.666343
1.9000, 0, 5, 5, 2, 8, 0.063370, 0.669994
2.0000, 0, 5, 5, 1, 9, 0.057186, 0.659513
2.1000, 0, 5, 4, 2, 9, 0.115565, 0.671853
2.2000, 0, 3, 6, 1, 10, 0.137447, 0.646480
2.3000, 0, 3, 5, 2, 10, 0.268482, 0.592985
2.4000, 0, 2, 5, 3, 10, 0.352080, 0.566096
2.5000, 0, 1, 5, 4, 10, 0.343676, 0.500601
2.6000, 0, 2, 3, 5, 10, 0.385199, 0.406105
2.7000, 0, 2, 3, 5, 10, 0.472122, 0.368139
2.8000, 0, 1, 4, 5, 10, 0.535062, 0.381094
2.9000, 0, 2, 3, 5, 10, 0.516074, 0.265587
3.0000, 0, 2, 3, 5, 10, 0.604030, 0.178813
3.1000, 0, 2, 3, 5, 10, 0.658111, 0.114120
3.2000, 0, 2, 3, 5, 10, 0.651429, 0.080411
3.3000, 0, 2, 3, 5, 10, 0.660270, -0.032507
3.4000, 0, 2, 3, 5, 10, 0.698720, -0.020664
3.5000, 0, 2, 3, 4, 11, 0.699122, -0.034949
3.6000, 0, 2, 3, 4, 11, 0.717795, -0.095298
3.7000, 0, 3, 2, 4, 11, 0.677591, -0.260480
3.8000, 1, 2, 2, 4, 11, 0.673315, -0.465445
3.9000, 2, 1, 2, 5, 10, 0.686606, -0.475814
4.0000, 2, 1, 2, 5, 10, 0.592531, -0.494828
4.1000, 2, 1, 2, 5, 10, 0.464361, -0.568234
4.2000, 2, 1, 3, 4, 10, 0.446700, -0.663304
4.3000, 2, 1, 3, 4, 10, 0.470106, -0.710723
4.4000, 2, 1, 3, 5, 9, 0.400952, -0.742294
4.5000, 2, 1, 4, 4, 9, 0.292308, -0.806526
4.6000, 2, 2, 3, 6, 7, 0.229381, -0.783995
4.7000, 2, 3, 3, 9, 3, 0.136681, -0.819546
4.8000, 2, 3, 4, 9, 2, 0.096097, -0.866619
4.9000, 3, 2, 4, 9, 2, 0.073858, -0.878398
5.0000, 3, 2, 4, 9, 2, 0.101328, -0.858844
5.1000, 3, 2, 5, 8, 2, 0.049828, -0.863870
5.2000, 3, 2, 5, 10, 0, 0.020745, -0.873459
5.3000, 3, 3, 4, 10, 0, -0.064466, -0.856591
5.4000, 3, 3, 4, 10, 0, -0.014852, -0.860421
5.5000, 3, 3, 5, 9, 0, -0.079673, -0.825466
5.6000, 4, 3, 5, 8, 0, -0.080938, -0.806494
5.7000, 5, 3, 7, 5, 0, -0.064513, -0.806615
5.8000, 5, 4, 8, 3, 0, -0.135741, -0.790266
5.9000, 5, 4, 8, 3, 0, -0.150656, -0.794860
6.0000, 5, 4, 9, 2, 0, -0.294857, -0.793973
6.1000, 5, 4, 9, 2, 0, -0.297611, -0.733320
6.2000, 5, 5, 8, 2, 0, -0.347621, -0.779606
6.3000, 5, 5, 10, 0, 0, -0.430352, -0.640499
6.4000, 6, 4, 10, 0, 0, -0.518092, -0.666180
6.5000, 6, 4, 10, 0, 0, -0.584759, -0.604371
6.6000, 6, 4, 10, 0, 0, -0.636461, -0.476985
6.7000, 6, 6, 8, 0, 0, -0.747906, -0.393838
6.8000, 7, 7, 6, 0, 0, -0.710043, -0.335389
6.9000, 7, 7, 6, 0, 0, -0.816455, -0.253797
7.0000, 7, 8, 5, 0, 0, -0.855136, -0.170249
7.1000, 7, 9, 4, 0, 0, -0.783218, -0.095272
7.2000, 7, 9, 4, 0, 0, -0.736811, -0.055722
7.3000, 7, 9, 4, 0, 0, -0.768250, -0.097305
7.4000, 7, 9, 4, 0, 0, -0.766846, 0.068704
7.5000, 7, 9, 4, 0, 0, -0.684900, 0.099561
7.6000, 6, 8, 6, 0, 0, -0.655876, 0.354909
7.7000, 6, 8, 6, 0, 0, -0.658754, 0.514022
7.8000, 6, 8, 6, 0, 0, -0.598569, 0.590847
7.9000, 4, 7, 9, 0, 0, -0.600333, 0.600325
8.0000, 4, 7, 9, 0, 0, -0.527866, 0.721983
8.1000, 4, 7, 9, 0, 0, -0.413675, 0.765476
8.2000, 3, 7, 10, 0, 0, -0.395064, 0.834309
8.3000, 3, 6, 11, 0, 0, -0.395506, 0.785837
8.4000, 2, 7, 10, 1, 0, -0.243566, 0.733085
8.5000, 1, 7, 11, 1, 0, -0.198053, 0.833057
8.6000, 0, 7, 9, 4, 0, -0.125054, 0.858943
8.7000, 0, 7, 9, 4, 0, 0.015736, 0.864875
8.8000, 0, 7, 8, 5, 0, -0.099936, 0.944173
8.9000, 0, 7, 8, 5, 0, -0.077649, 0.936984
9.0000, 0, 7, 7, 6, 0, -0.050054, 0.970363
9.1000, 0, 4, 7, 9, 0, -0.001852, 0.974801
9.2000, 0, 3, 8, 9, 0, 0.095040, 0.909893
9.3000, 0, 3, 8, 9, 0, 0.104625, 0.924359
9.4000, 0, 3, 8, 9, 0, 0.065747, 0.922164
